Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|AHT$G|Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock|N| |N|100|N||AHTpG|AHT-G|N
Y|AI|Arlington Asset Investment Corp Class A (new)|N| |N|100|N||AI|AI|N
Y|AI$B|Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock|N| |N|100|N||AIpB|AI-B|N
Y|AIA|iShares Asia 50 ETF|Q|G|Y|100|N|N||AIA|N
Y|AIB|Apollo Investment Corporation 6.625% Senior Notes due 2042|N| |N|100|N||AIB|AIB|N
Y|AIC|Arlington Asset Investment Corp 6.750% Notes due 2025|N| |N|100|N||AIC|AIC|N
Y|AIF|Apollo Tactical Income Fund Inc. Common Stock|N| |N|100|N||AIF|AIF|N
Y|AIG|American International Group, Inc. New Common Stock|N| |N|100|N||AIG|AIG|N
Y|AIG.W|American International Group, Inc. Warrant expiring January 19, 2021|N| |N|100|N||AIG/WS|AIG+|N
Y|AIII|ACRE Realty Investors, Inc. Common Stock|A| |N|100|N||AIII|AIII|N
Y|AIMC|Altra Industrial Motion Corp. - Common Stock|Q|Q|N|100|N|N||AIMC|N
Y|AIMT|Aimmune Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||AIMT|N
Y|AIN|Albany International Corporation Common Stock|N| |N|100|N||AIN|AIN|N
Y|AINC|Ashford Inc. Common Stock|A| |N|100|N||AINC|AINC|N
Y|AINV|Apollo Investment Corporation - Closed End Fund|Q|Q|N|100|N|N||AINV|N
Y|AIQ|Alliance HealthCare Services, Inc. - Common Stock|Q|G|N|100|N|N||AIQ|N
Y|AIR|AAR Corp. Common Stock|N| |N|100|N||AIR|AIR|N
Y|AIRG|Airgain, Inc. - Common Stock|Q|S|N|100|N|N||AIRG|N
Y|AIRI|Air Industries Group Common Stock|A| |N|100|N||AIRI|AIRI|N
Y|AIRR|First Trust RBA American Industrial Renaissance ETF|Q|G|Y|100|N|N||AIRR|N
Y|AIRT|Air T, Inc. - Common Stock|Q|S|N|100|N|N||AIRT|N
Y|AIT|Applied Industrial Technologies, Inc. Common Stock|N| |N|100|N||AIT|AIT|N
Y|AIV|Apartment Investment and Management Company Common Stock|N| |N|100|N||AIV|AIV|N
Y|AIV$A|Apartment Investment and Management Company Preferred Series Class A|N| |N|100|N||AIVpA|AIV-A|N
Y|AIW|Arlington Asset Investment Corp 6.625% Notes due 2023|N| |N|100|N||AIW|AIW|N
Y|AIY|Apollo Investment Corporation 6.875% Senior Notes due 2043|N| |N|100|N||AIY|AIY|N
Y|AIZ|Assurant, Inc. Common Stock|N| |N|100|N||AIZ|AIZ|N
Y|AJG|Arthur J. Gallagher & Co. Common Stock|N| |N|100|N||AJG|AJG|N
Y|AJRD|Aerojet Rocketdyne Holdings, Inc. Common Stock|N| |N|100|N||AJRD|AJRD|N
Y|AJX|Great Ajax Corp. Common Stock|N| |N|100|N||AJX|AJX|N
Y|AJXA|Great Ajax Corp. 7.25% Convertible Senior Notes due 2024|N| |N|100|N||AJXA|AJXA|N
Y|AKAM|Akamai Technologies, Inc. - Common Stock|Q|Q|N|100|N|N||AKAM|N
Y|AKAO|Achaogen, Inc. - Common Stock|Q|G|N|100|N|N||AKAO|N
Y|AKBA|Akebia Therapeutics, Inc. - Common Stock|Q|G|N|100|N|N||AKBA|N
Y|AKER|Akers Biosciences Inc - Common Stock|Q|S|N|100|N|N||AKER|N
Y|AKG|Asanko Gold Inc.|A| |N|100|N||AKG|AKG|N
