"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CPS","Cooper-Standard Holdings Inc.","106.74","1884409094.52","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/cps",
"CVU","CPI Aerostructures, Inc.","9.15","79935443.1","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu",
"CPSH","CPS Technologies Corp.","1.61","21257531.96","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpsh",
"CR","Crane Company","73.28","4298350591.68","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/cr",
"CRH","CRH PLC","33.95","27971787039.35","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/crh",
"CUB","Cubic Corporation","46.85","1268975679.95","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cub",
"CYBE","CyberOptics Corporation","28.95","199247969.7","n/a","n/a","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/cybe",
"DHI","D.R. Horton, Inc.","27.85","10394336691.9","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/dhi",
"DAN","Dana Incorporated","19.32","2778662118.12","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","80.43","55633601350.74","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr",
"DAIO","Data I/O Corporation","4.0501","32369994.9394","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"DE","Deere & Company","106.49","33743766581.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/de",
"DLPH","Delphi Automotive plc","69.17","18733979973.9","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DPW","Digital Power Corporation","0.65","4990464.05","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"BOOM","DMC Global Inc.","15.75","228095610.75","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/boom",
"DCI","Donaldson Company, Inc.","41.97","5542416215.49","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/dci",
"DORM","Dorman Products, Inc.","69.72","2413256496.84","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dorm",
"PLOW","Douglas Dynamics, Inc.","32.85","739178874","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/plow",
"DCO","Ducommun Incorporated","25.3","282693572.7","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/dco",
"DXPE","DXP Enterprises, Inc.","36.21","627753542.49","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dxpe",
"DYSL","Dynasil Corporation of America","1.31","22147207.15","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"EXP","Eagle Materials Inc","100.58","4850331397.86","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/exp",
"EACQ","Easterly Acquisition Corp.","9.86","246500000","n/a","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacq",
"EACQU","Easterly Acquisition Corp.","10.05","0","n/a","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqu",
"EACQW","Easterly Acquisition Corp.","0.45","0","n/a","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqw",
