"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BK","Bank Of New York Mellon Corporation (The)","48.17","50931905033.57","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bk",
"BNS","Bank of Nova Scotia (The)","57.88","69946420365.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bns",
"BKSC","Bank of South Carolina Corp.","21.85","108134317.15","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","15.39","67384130.04","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/botj",
"OZRK","Bank of the Ozarks","52.36","6343291372.88","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ozrk",
"BFIN","BankFinancial Corporation","15.02","289453589.22","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bfin",
"BKU","BankUnited, Inc.","37.49","3904245902.55","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bku",
"BWFG","Bankwell Financial Group, Inc.","31.65","239642975.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bwfg",
"BANR","Banner Corporation","56.71","1900522343.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banr",
"BHB","Bar Harbor Bankshares, Inc.","46.24","280035913.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"TAPR","Barclays Inverse US Treasury Composite ETN","26.44","17984488","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/tapr",
"BCS","Barclays PLC","11.54","48880555000","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BHAC","Barington/Hilco Acquisition Corp.","10.1558","57495396.1488","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bhac",
"BHACR","Barington/Hilco Acquisition Corp.","0.2489","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bhacr",
"BHACU","Barington/Hilco Acquisition Corp.","10.5","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bhacu",
"BHACW","Barington/Hilco Acquisition Corp.","0.1198","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bhacw",
"BYBK","Bay Bancorp, Inc.","6.55","67884186.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bybk",
"BBT","BB&T Corporation","47.04","38169399119.04","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbt",
